Organization ID,Organization,Locality,State,Geographic Ring,Taxonomy Code,RFxchange Roles,Priority,LinkedIn Page,Page Followed,Employee/Follower Population,Target Titles,People Identified,Invites Sent,Follows Gained,Partnership Contact,Resource Verified,Opportunity Source,RFxchange Registrations,Notes
RFX-ORG-0013,Hampton Roads Alliance,Hampton Roads,VA,Regional Overlay,REGIONAL,Acquire; Amplify; Validate; Resource,P0,https://www.linkedin.com/company/hamptonroadsalliance,Yes,TBD — capture current LinkedIn count,President/CEO; Executive Director; Strategy; Partnerships; Business Development; Member/Stakeholder Engagement,1,0,0,,Not yet,Ecosystem / referral,0,Regional economic-development connector; high-value validator and partner.
RFX-ORG-0014,Hampton Roads Chamber,Hampton Roads,VA,Regional Overlay,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/hampton-roads-chamber-of-commerce,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,2,0,0,,Not yet,Ecosystem / referral,0,"Large regional business membership network. Prioritize membership, programs, and government affairs."
RFX-ORG-0015,Hampton Roads Small Business Development Center,Hampton Roads,VA,Regional Overlay,SBR,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/hampton-roads-small-business-development-center,Yes,TBD — capture current LinkedIn count,Executive/Center Director; Business Advisor; Program Manager; Outreach; Partnerships,3,0,0,,Not yet,Ecosystem / referral,0,High-leverage resource provider with direct small-business advisory relationships.
RFX-ORG-0016,Virginia APEX Accelerator,Hampton Roads / Virginia,VA,Regional Overlay,GOVCON,Acquire; Resource; Validate,P0,https://www.linkedin.com/company/virginiaapex,Yes,TBD — capture current LinkedIn count,Program Director; Procurement Counselor; Government Contracting Advisor; Outreach; Partnerships,2,0,0,,Not yet,Opportunity / bid intelligence resource,0,Priority partner for government-contracting users and bid/opportunity discovery.
RFX-ORG-0017,Hampton Roads Workforce Council,Hampton Roads,VA,Regional Overlay,WFD,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/hrworkforcecouncil,Yes,TBD — capture current LinkedIn count,President/CEO; Business Services Director; Employer Services; Workforce Programs; Partnerships,2,0,0,,Not yet,Ecosystem / referral,0,Employer-services network; useful for business recruitment and workforce resource verification.
RFX-ORG-0018,SCORE Mentors Hampton Roads,Hampton Roads / NE North Carolina,VA/NC,Regional Overlay,SBR,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/score-hampton-roads,Yes,TBD — capture current LinkedIn count,Executive/Center Director; Business Advisor; Program Manager; Outreach; Partnerships,0,0,0,,Not yet,Ecosystem / referral,0,Cross-state small-business mentor network extending naturally into northeast North Carolina.
RFX-ORG-0019,Black BRAND,Hampton Roads,VA,Regional Overlay,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/blackbrandbiz,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,1,0,0,,Not yet,Ecosystem / referral,0,Regional Black chamber; strong small-business network and amplification channel.
RFX-ORG-0020,The Metropolitan Business League,Hampton Roads / Central Virginia,VA,Regional Overlay,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/thembl,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,1,0,0,,Not yet,Ecosystem / referral,0,"High-value network for small businesses, procurement readiness, and relationship development."
RFX-ORG-0021,LISC Virginia,Virginia / Hampton Roads,VA,Regional Overlay,CAP,Resource; Capital; Amplify,P1,https://www.linkedin.com/company/virginia-lisc,Yes,TBD — capture current LinkedIn count,Business Lending; Commercial Banking; Community Development; SBA Lending; Member Business Services; Partnerships,1,0,0,,Not yet,Capital / community-development resource,0,Resource and capital ecosystem partner; verify local Hampton Roads program contacts.
RFX-ORG-0022,757 Collab,Norfolk / Hampton Roads,VA,Regional Overlay,INNOV,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/757-collab,Yes,TBD — capture current LinkedIn count,Executive Director; Program Director; Founder/Community Manager; Partnerships; Venture/Capital Programs,2,0,0,,Not yet,Ecosystem / referral,0,Entrepreneurship ecosystem hub; strong founder acquisition and resource-network value.
RFX-ORG-0023,Virginia Peninsula Chamber,Peninsula / Hampton Roads,VA,Regional Overlay,CHM,Acquire; Resource; Amplify,P0,https://www.linkedin.com/company/virginia-peninsula-chamber,Yes,"1,400+ member organizations (network proxy)",President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,2,0,0,,Not yet,Ecosystem / referral,0,"Major Peninsula business network spanning Newport News, Hampton and nearby localities."
RFX-ORG-0024,Virginia Maritime Association,Hampton Roads,VA,Regional Overlay,ASSOC,Acquire; Amplify; Supply; Teaming,P0,https://www.linkedin.com/company/virginia-maritime-association,Yes,TBD — capture current LinkedIn count,President/Executive Director; Membership; Programs; Government Affairs; Business Development; Partnerships,1,0,0,,Not yet,Industry / supplier ecosystem,0,High-density maritime/logistics membership network tied to port activity and suppliers.
RFX-ORG-0025,Virginia Ship Repair Association,Hampton Roads,VA,Regional Overlay,ASSOC,Acquire; Amplify; Supply; Teaming,P0,https://www.linkedin.com/company/vsra,Yes,TBD — capture current LinkedIn count,President/Executive Director; Membership; Programs; Government Affairs; Business Development; Partnerships,1,0,0,,Not yet,Industry / supplier ecosystem,0,Priority defense/ship-repair supplier network; strong fit for teaming and subcontracting.
RFX-ORG-0026,Hampton Roads Executive Roundtable,Hampton Roads,VA,Regional Overlay,REGIONAL,Amplify; Validate; Partnership,P1,https://www.linkedin.com/company/hampton-roads-roundtable,Yes,TBD — capture current LinkedIn count,President/CEO; Executive Director; Strategy; Partnerships; Business Development; Member/Stakeholder Engagement,1,0,0,,Not applicable,Ecosystem / referral,0,Executive-level validator and regional strategy network.
RFX-ORG-0027,Community College Workforce Cooperative (CCWC),Hampton Roads,VA,Regional Overlay,WFD,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/community-college-workforce-cooperative-ccwc,Yes,TBD — capture current LinkedIn count,President/CEO; Business Services Director; Employer Services; Workforce Programs; Partnerships,0,0,0,,Not yet,Ecosystem / referral,0,"Links community colleges, employers, and workforce initiatives across the region."
RFX-ORG-0028,City of Newport News,Newport News,VA,Near,GOV-BUY,Supply; Validate,P0,https://www.linkedin.com/company/city-of-newport-news,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,"Large local-government buyer; target procurement plus waterworks, IT, public works, and facilities."
RFX-ORG-0029,Newport News Public Schools,Newport News,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/nnschools,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,"Recurring institutional procurement; identify purchasing, facilities, IT, transportation, and finance."
RFX-ORG-0030,Hampton Economic Development,Hampton,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P0,https://www.linkedin.com/company/hamptoneconomicdevelopment,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,4,0,0,,Not yet,Ecosystem / referral,0,Strong small-business and government-contracting activity; high-value partnership target.
RFX-ORG-0031,Hampton City Schools,Hampton,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/hampton-city-schools,Yes,"1,500+ professional educators; 19,500 students (institution size)",Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,City procurement is centralized with municipal purchasing; useful recurring opportunity source.
RFX-ORG-0032,Portsmouth Economic Development,Portsmouth,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P0,https://www.linkedin.com/company/portsmouth-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,1,0,0,,Not yet,Ecosystem / referral,0,Economic-development and small-business bridge into Portsmouth.
RFX-ORG-0033,Portsmouth Public Schools,Portsmouth,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/portsmouth-public-schools,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,"Approximately 14,000 students; recurring public-school procurement."
RFX-ORG-0034,York County Economic & Tourism Development,York County,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/york-etd,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,1,0,0,,Not yet,Ecosystem / referral,0,Historic Triangle economic-development connector.
RFX-ORG-0035,York County Chamber of Commerce,York County,VA,Near,CHM,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/york-county-chamber-of-commerce,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Local business membership network on the Peninsula.
RFX-ORG-0036,York County School Division,York County,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/ycsdva,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,Institutional procurement and vendor-network target.
RFX-ORG-0037,Greater Williamsburg Chamber of Commerce,Williamsburg / James City / York,VA,Near,CHM,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/greater-williamsburg-business-council,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,1,0,0,,Not yet,Ecosystem / referral,0,Strong cross-locality business network in the Historic Triangle.
RFX-ORG-0038,Yes Williamsburg Economic Development,Williamsburg,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/yes-williamsburg-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,0,0,0,,Not yet,Ecosystem / referral,0,Economic-development partner and small-business connector.
RFX-ORG-0039,James City County,James City County,VA,Near,GOV-BUY,Supply; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/james-city-county,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not yet,Direct public-sector issuer,0,Local-government buyer plus business/economic-development connector.
RFX-ORG-0040,SCORE Mentors Williamsburg,Williamsburg / Historic Triangle,VA,Near,SBR,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/score-mentors-williamsburg,Yes,TBD — capture current LinkedIn count,Executive/Center Director; Business Advisor; Program Manager; Outreach; Partnerships,0,0,0,,Not yet,Ecosystem / referral,0,Local mentor network that complements Hampton Roads SCORE coverage.
RFX-ORG-0041,Chesapeake Economic Development,Chesapeake,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/chesapeake-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,2,0,0,,Not yet,Ecosystem / referral,0,Large South Hampton Roads business-development network.
RFX-ORG-0042,Chesapeake Alliance,Chesapeake,VA,Near,CHM,Acquire; Amplify; Validate,P1,https://www.linkedin.com/company/chesapeake-alliance,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Business-leadership network useful for amplification and employer reach.
RFX-ORG-0043,Chesapeake Public Schools,Chesapeake,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/cpschoolsva,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,Large school division with recurring purchasing across operational categories.
RFX-ORG-0044,City of Norfolk Economic Development,Norfolk,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/city-of-norfolk-economic-development,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,1,0,0,,Not yet,Ecosystem / referral,0,"Major urban economic-development connector with maritime, defense, tech, and small-business reach."
RFX-ORG-0045,Norfolk Innovation Corridor,Norfolk,VA,Near,INNOV,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/norfolk-innovation-corridor,Yes,TBD — capture current LinkedIn count,Executive Director; Program Director; Founder/Community Manager; Partnerships; Venture/Capital Programs,0,0,0,,Not yet,Ecosystem / referral,0,Innovation ecosystem and cross-sector partnership network.
RFX-ORG-0046,Norfolk Public Schools,Norfolk,VA,Near,EDU-BUY,Supply; Validate,P1,https://www.linkedin.com/company/norfolk-public-schools,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,Public-school procurement source and business-community touchpoint.
RFX-ORG-0047,Virginia Beach Economic Development,Virginia Beach,VA,Near,EDO,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/vbed,Yes,TBD — capture current LinkedIn count,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,2,0,0,,Not yet,Ecosystem / referral,0,Large business ecosystem; includes entrepreneurship support through The HIVE.
RFX-ORG-0048,Virginia Beach City Public Schools,Virginia Beach,VA,Near,EDU-BUY,Supply; Validate,P2,https://www.linkedin.com/company/virginia-beach-city-public-schools,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Finance; Facilities; IT Procurement; Contracts; Supplier Diversity/SWaM,0,0,0,,Not applicable,Direct education issuer,0,Large recurring institutional procurement source at the outer edge of the practical market.
RFX-ORG-0049,The Port of Virginia,Hampton Roads,VA,Near,INFRA,Supply; Teaming; Validate,P0,https://www.linkedin.com/company/portofvirginia,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Contracts; Supplier Diversity; Engineering Procurement; Small Business,1,0,0,,Not applicable,Direct infrastructure / procurement issuer,0,"One of the highest-value recurring opportunity sources for logistics, construction, professional services, and suppliers."
RFX-ORG-0050,HRSD,Hampton Roads,VA,Near,INFRA,Supply; Validate,P0,https://www.linkedin.com/company/hrsd,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Contracts; Supplier Diversity; Engineering Procurement; Small Business,2,0,0,,Not applicable,Direct infrastructure / procurement issuer,0,"Recurring construction, engineering, operations, IT, goods, and services procurement."
RFX-ORG-0051,Hampton Roads Transit,Hampton Roads,VA,Near,INFRA,Supply; Validate,P1,https://www.linkedin.com/company/hampton-roads-transit,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Contracts; Supplier Diversity; Engineering Procurement; Small Business,1,0,0,,Not applicable,Direct transit / procurement issuer,0,Transit procurement and vendor-opportunity source.
RFX-ORG-0052,Southeastern Public Service Authority,Regional / Suffolk,VA,Near,INFRA,Supply; Validate,P1,https://www.linkedin.com/company/southeastern-public-service-authority,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing; Contracts; Supplier Diversity; Engineering Procurement; Small Business,0,0,0,,Not applicable,Direct public-authority issuer,0,"Serves Isle of Wight, Franklin, Suffolk, Chesapeake, Norfolk, Portsmouth and Virginia Beach."
RFX-ORG-0053,Peninsula Airport Commission,Newport News,VA,Near,INFRA,Supply; Validate,P1,https://www.linkedin.com/company/peninsula-airport-commission,Yes,51–200 employees,Procurement Director; Purchasing; Contracts; Supplier Diversity; Engineering Procurement; Small Business,0,0,0,,Not applicable,Direct airport / public-authority issuer,0,Aviation/public-authority procurement target serving the Peninsula.
RFX-ORG-0054,Old Dominion University,Norfolk,VA,Near,INST-BUY,Supply; Resource; Amplify; Validate,P1,https://www.linkedin.com/school/old-dominion-university/,Yes,TBD — capture current LinkedIn count,Procurement Director; Strategic Sourcing; Supplier Diversity/SWaM; Contracts; Small Business; Partnerships,1,0,0,,Not applicable,Direct institutional issuer,0,"Institutional procurement plus entrepreneurship, workforce, research and government-contracting networks."
RFX-ORG-0055,Norfolk State University,Norfolk,VA,Near,INST-BUY,Supply; Resource; Amplify; Validate,P1,https://www.linkedin.com/school/norfolk-state-university/,Yes,TBD — capture current LinkedIn count,Procurement Director; Strategic Sourcing; Supplier Diversity/SWaM; Contracts; Small Business; Partnerships,0,0,0,,Not applicable,Direct institutional issuer,0,Institutional buyer and business/workforce ecosystem connector.
RFX-ORG-0056,William & Mary,Williamsburg,VA,Near,INST-BUY,Supply; Resource; Amplify; Validate,P1,https://www.linkedin.com/school/william-and-mary/,Yes,TBD — capture current LinkedIn count,Procurement Director; Strategic Sourcing; Supplier Diversity/SWaM; Contracts; Small Business; Partnerships,1,0,0,,Not applicable,Direct institutional issuer,0,Institutional procurement and high-value professional network in the Historic Triangle.
RFX-ORG-0057,NASA Langley Research Center,Hampton,VA,Near,GOV-BUY,Supply; Teaming; Validate,P0,https://www.linkedin.com/company/nasa-langley-research-center,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,1,0,0,,Not applicable,Federal contracting / small-business opportunities,0,High-value federal small-business and technology-contracting ecosystem.
RFX-ORG-0058,Jefferson Lab,Newport News,VA,Near,GOV-BUY,Supply; Teaming; Validate,P0,https://www.linkedin.com/company/jefferson-lab,Yes,"14,376 LinkedIn followers",Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,1,0,0,,Not applicable,Federal-lab procurement / small-business opportunities,0,Federal laboratory with procurement and small-business supplier opportunities.
RFX-ORG-0059,"Newport News Shipbuilding, A Division of HII",Newport News,VA,Near,PRIME,Supply; Teaming; Validate,P0,https://www.linkedin.com/company/newportnewsshipbuilding,Yes,"HII parent page: 84,811 LinkedIn followers",Supplier Diversity; Strategic Sourcing; Procurement; Subcontracts; Small Business Liaison; Business Development,1,0,0,,Not applicable,Prime contractor / supplier opportunities,0,"Critical defense-prime target. Prioritize supplier diversity, strategic sourcing, subcontracts, and small-business liaison roles."
RFX-ORG-0060,Ferguson,Newport News,VA,Near,PRIME,Supply; Teaming; Acquire,P1,https://www.linkedin.com/company/ferguson-official,Yes,"177,287 LinkedIn followers; ~29,000 associates",Supplier Diversity; Strategic Sourcing; Procurement; Subcontracts; Small Business Liaison; Business Development,0,0,0,,Not applicable,Corporate sourcing / supplier ecosystem,0,Large corporate anchor with broad supplier and B2B network.
RFX-ORG-0061,Virginia's Gateway Region Economic Development Organization,Petersburg / Tri-Cities / surrounding counties,VA,Edge,REGIONAL,Acquire; Resource; Amplify; Validate,P1,https://www.linkedin.com/company/virginia%27s-gateway-region,Yes,TBD — capture current LinkedIn count,President/CEO; Executive Director; Strategy; Partnerships; Business Development; Member/Stakeholder Engagement,1,0,0,,Not yet,Ecosystem / referral,0,"Western expansion bridge linking Petersburg, Prince George and surrounding localities."
RFX-ORG-0062,Hopewell/Prince George Chamber of Commerce,Hopewell / Prince George,VA,Edge,CHM,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/hpgchamber,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Business membership network for the western edge of the practical market shed.
RFX-ORG-0063,"County of Prince George, VA",Prince George County,VA,Edge,GOV-BUY,Supply; Resource; Amplify; Validate,P2,https://www.linkedin.com/company/county-of-prince-george-va,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not yet,Direct public-sector issuer,0,Western-edge local government and economic-development connector.
RFX-ORG-0064,Crater Planning District Commission,Petersburg / Crater Region,VA,Edge,REGIONAL,Resource; Amplify; Validate,P2,https://www.linkedin.com/company/crater-planning-district,Yes,163 LinkedIn followers,President/CEO; Executive Director; Strategy; Partnerships; Business Development; Member/Stakeholder Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Regional planning/economic-development network on western edge.
RFX-ORG-0065,"City of Petersburg, VA",Petersburg,VA,Edge,GOV-BUY,Supply; Amplify; Validate,P2,https://www.linkedin.com/company/city-of-petersburg-va,Yes,TBD — capture current LinkedIn count,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,Edge-market public buyer and business-community connector.
RFX-ORG-0066,Currituck County Economic Development,Currituck County,NC,Edge,EDO,Acquire; Resource; Amplify; Validate,P1,,No,No LinkedIn organization page identified,President/CEO; Economic Development Director; Business Development Manager; BRE Manager; Small Business Manager; Partnerships/Marketing,0,0,0,,Not yet,Ecosystem / referral,0,Primary northeast North Carolina economic-development target.
RFX-ORG-0067,Currituck Chamber of Commerce,Currituck County,NC,Edge,CHM,Acquire; Resource; Amplify,P1,https://www.linkedin.com/company/currituck-chamber-of-commerce,Yes,TBD — capture current LinkedIn count,President/CEO; Membership Director; Programs Director; Business Development; Partnerships/Community Engagement,0,0,0,,Not yet,Ecosystem / referral,0,Business membership network connecting Moyock/Currituck into Hampton Roads.
RFX-ORG-0068,City of Elizabeth City,Elizabeth City,NC,Edge,GOV-BUY,Supply; Amplify; Validate,P2,https://www.linkedin.com/company/elizabethcitync,Yes,299 LinkedIn followers,Procurement Director; Purchasing Manager; Buyer; Contracting Officer; Supplier Diversity/SWaM; Finance/Operations,0,0,0,,Not applicable,Direct public-sector issuer,0,Southern edge-market municipality and business-community connector.
RFX-ORG-0069,Elizabeth City State University,Elizabeth City,NC,Edge,INST-BUY,Supply; Resource; Amplify; Validate,P1,https://www.linkedin.com/school/elizabeth-city-state-university/,Yes,TBD — capture current LinkedIn count,Procurement Director; Strategic Sourcing; Supplier Diversity/SWaM; Contracts; Small Business; Partnerships,0,0,0,,Not applicable,Direct institutional issuer,0,Institutional buyer plus SBTDC/business-support connection in northeast North Carolina.
