Person ID,Organization ID,Person Name,Current Title,Target Title Match,LinkedIn Profile,Connection Degree,Identified Date,Invite Eligible,Invite Sent,Invite Date,Follows RFxchange,Follow Confirmed Date,Direct Outreach Status,Last Contact Date,Partnership Contact,Resource Contact,Opportunity Contact,RFxchange Registered,Registration Date,Last Verified,Notes
RFX-PER-000034,RFX-ORG-0006,Chantal Dalton,Member Business Services Manager,"Member Business Services; Business Lending",https://www.linkedin.com/in/chantal-dalton-0870721a2,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Bronco Federal Credit Union announced her 2026 appointment as Member Business Services Manager; public LinkedIn profile verified."
RFX-PER-000035,RFX-ORG-0009,"Robin Booth, MAOL, VCA",Buyer,"Purchasing; Buyer; Contracts",https://www.linkedin.com/in/robin-booth-maol-vca-564b40144,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Suffolk Public Schools Purchasing lists Robin Booth as Buyer; current 2026 solicitations identify Booth as procurement contact and public LinkedIn confirms SPS affiliation."
RFX-PER-000036,RFX-ORG-0013,Jared Chalk,Chief Business Development Officer,"Business Development; Strategy; Partnerships",https://www.linkedin.com/in/jaredchalk,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads Alliance Chief Business Development Officer; current Alliance posts and public LinkedIn profile verified."
RFX-PER-000037,RFX-ORG-0023,Bob McKenna,President/CEO,President/CEO,https://www.linkedin.com/in/bob-mckenna-2458823,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia Peninsula Chamber President/CEO; Chamber staff page and public LinkedIn profile verified."
RFX-PER-000038,RFX-ORG-0023,Becki Whitehurst,Member Services,"Membership Director; Member Acquisition/Retention",https://www.linkedin.com/in/rebecca-whitehurst-405b54b3,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia Peninsula Chamber Member Services contact; official staff page assigns member acquisition, retention and relationship development."
RFX-PER-000039,RFX-ORG-0049,Meg Guerriero,Procurement Manager,"Procurement Director; Purchasing; Contracts",https://www.linkedin.com/in/meg-guerriero-182262108,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Port of Virginia Procurement Manager; 2026 VPA solicitation identifies her title and public LinkedIn profile is active."
RFX-PER-000040,RFX-ORG-0054,Etta Henry,Executive Director of Strategic Sourcing and Payment Solutions,"Procurement Director; Strategic Sourcing",https://www.linkedin.com/in/etta-henry-b5380b8,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Old Dominion University procurement directory identifies Etta Henry as Executive Director of Strategic Sourcing and Payment Solutions; public LinkedIn profile verified."
RFX-PER-000041,RFX-ORG-0061,Keith Boswell,"President & CEO",President/CEO,https://www.linkedin.com/in/keith-boswell-bb164a1,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Virginia's Gateway Region President & CEO; current 2026 organization references and public LinkedIn profile verified."
RFX-PER-000042,RFX-ORG-0007,Terry Smith,Senior Business Development Manager,"Business Development Manager; BRE Manager",https://www.linkedin.com/in/terry-smith-41794948,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Suffolk Senior Business Development Manager; title verified in the City of Suffolk Economic Development staff directory and public LinkedIn profile."
RFX-PER-000043,RFX-ORG-0007,Deanna Trimyer,Assistant Director of Economic Development,"Economic Development Director; Business Development Manager",https://www.linkedin.com/in/deanna-trimyer-2a3739368,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Suffolk Assistant Director of Economic Development; official City staff directory and public LinkedIn profile verified."
RFX-PER-000044,RFX-ORG-0050,"Amy Murphy, CPPB, VCO",Director of Procurement,"Procurement Director; Purchasing; Contracts",https://www.linkedin.com/in/amy-murphy-87189949,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current HRSD Director of Procurement; exact title verified on HRSD Procurement Assistance page and public LinkedIn profile."
RFX-PER-000045,RFX-ORG-0050,Tamara Johnson,Procard and Contract Administrator,"Purchasing; Contracts",https://www.linkedin.com/in/tamara-johnson-0b612b80,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current HRSD Procard and Contract Administrator; exact title verified on HRSD Procurement Assistance page and public LinkedIn profile."
RFX-PER-000046,RFX-ORG-0051,Sonya Luther,Director of Procurement,"Procurement Director; Purchasing; Contracts; Supplier Diversity",https://www.linkedin.com/in/sonya-luther-1994ab132,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Roads Transit Director of Procurement; multiple 2026 HRT governing-board agendas and public LinkedIn profile verified."
RFX-PER-000047,RFX-ORG-0056,"Feleasha Sherfy, NIGP-CPP, CPPB, CUPO, VCA",Senior Sourcing Specialist,"Strategic Sourcing; Procurement; Contracts",https://www.linkedin.com/in/feleasha-sherfy-nigp-cpp-cppb-cupo-vca-641124215,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current William & Mary Senior Sourcing Specialist; official Supply Chain Services directory and public LinkedIn profile verified."
RFX-PER-000048,RFX-ORG-0030,Leonard Sledge,Chief Officer for Community & Economic Development,"Economic Development Director; President/CEO",https://www.linkedin.com/in/leonardsledge,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current City of Hampton Chief Officer for Community & Economic Development; official Hampton staff directory and public LinkedIn profile verified."
RFX-PER-000049,RFX-ORG-0030,"Mike \"Yaz\" Yaskowsky, CEcD",Deputy Director,"Economic Development Director; Business Development",https://www.linkedin.com/in/mike-yaz-yaskowsky-77b6695,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Economic Development Deputy Director; official Hampton staff directory and public LinkedIn profile verified."
RFX-PER-000050,RFX-ORG-0030,"W. Maurice Leary, MA",Business Development Manager,"Business Development Manager; BRE Manager",https://www.linkedin.com/in/w-maurice-leary-ma-6a295512,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton Economic Development Business Development Manager; official Hampton staff directory and public LinkedIn profile verified."
RFX-PER-000051,RFX-ORG-0030,"Lavonya Jones, EdD(c)","Senior Innovation, Entrepreneurship & Small Business Development Manager","Small Business Manager; Business Development; Partnerships",https://www.linkedin.com/in/coachlavonyajones,,2026-08-15,,,,,,Not started,,,,,,,2026-08-15,"Current Hampton senior innovation, entrepreneurship and small-business development manager; official Hampton staff directory and public LinkedIn profile verified."
